,trainIndices,testIndices_withinDomain,testIndices_acrossDomain
0,labeled-data/Brownhorseoutofshadow/0162.png,labeled-data/Brownhorseoutofshadow/0160.png,labeled-data/BrownHorseintoshadow/0144.png
1,labeled-data/Brownhorseoutofshadow/0163.png,labeled-data/Brownhorseoutofshadow/0161.png,labeled-data/BrownHorseintoshadow/0145.png
2,labeled-data/Brownhorseoutofshadow/0167.png,labeled-data/Brownhorseoutofshadow/0164.png,labeled-data/BrownHorseintoshadow/0146.png
3,labeled-data/Brownhorseoutofshadow/0172.png,labeled-data/Brownhorseoutofshadow/0165.png,labeled-data/BrownHorseintoshadow/0147.png
4,labeled-data/Brownhorseoutofshadow/0173.png,labeled-data/Brownhorseoutofshadow/0166.png,labeled-data/BrownHorseintoshadow/0148.png
5,labeled-data/Brownhorseoutofshadow/0175.png,labeled-data/Brownhorseoutofshadow/0168.png,labeled-data/BrownHorseintoshadow/0149.png
6,labeled-data/Brownhorseoutofshadow/0179.png,labeled-data/Brownhorseoutofshadow/0169.png,labeled-data/BrownHorseintoshadow/0150.png
7,labeled-data/Brownhorseoutofshadow/0180.png,labeled-data/Brownhorseoutofshadow/0170.png,labeled-data/BrownHorseintoshadow/0151.png
8,labeled-data/Brownhorseoutofshadow/0182.png,labeled-data/Brownhorseoutofshadow/0171.png,labeled-data/BrownHorseintoshadow/0152.png
9,labeled-data/Brownhorseoutofshadow/0184.png,labeled-data/Brownhorseoutofshadow/0174.png,labeled-data/BrownHorseintoshadow/0153.png
10,labeled-data/Brownhorseoutofshadow/0185.png,labeled-data/Brownhorseoutofshadow/0176.png,labeled-data/BrownHorseintoshadow/0154.png
11,labeled-data/Brownhorseoutofshadow/0187.png,labeled-data/Brownhorseoutofshadow/0177.png,labeled-data/BrownHorseintoshadow/0155.png
12,labeled-data/Brownhorseoutofshadow/0188.png,labeled-data/Brownhorseoutofshadow/0178.png,labeled-data/BrownHorseintoshadow/0156.png
13,labeled-data/Brownhorseoutofshadow/0192.png,labeled-data/Brownhorseoutofshadow/0181.png,labeled-data/BrownHorseintoshadow/0157.png
14,labeled-data/Brownhorseoutofshadow/0194.png,labeled-data/Brownhorseoutofshadow/0183.png,labeled-data/BrownHorseintoshadow/0158.png
15,labeled-data/Brownhorseoutofshadow/0196.png,labeled-data/Brownhorseoutofshadow/0186.png,labeled-data/BrownHorseintoshadow/0159.png
16,labeled-data/Brownhorseoutofshadow/0198.png,labeled-data/Brownhorseoutofshadow/0189.png,labeled-data/BrownHorseintoshadow/0160.png
17,labeled-data/Brownhorseoutofshadow/0200.png,labeled-data/Brownhorseoutofshadow/0190.png,labeled-data/BrownHorseintoshadow/0161.png
18,labeled-data/Brownhorseoutofshadow/0202.png,labeled-data/Brownhorseoutofshadow/0191.png,labeled-data/BrownHorseintoshadow/0162.png
19,labeled-data/Brownhorseoutofshadow/0203.png,labeled-data/Brownhorseoutofshadow/0193.png,labeled-data/BrownHorseintoshadow/0163.png
20,labeled-data/Brownhorseoutofshadow/0204.png,labeled-data/Brownhorseoutofshadow/0195.png,labeled-data/BrownHorseintoshadow/0164.png
21,labeled-data/Brownhorseoutofshadow/0205.png,labeled-data/Brownhorseoutofshadow/0197.png,labeled-data/BrownHorseintoshadow/0165.png
22,labeled-data/Brownhorseoutofshadow/0208.png,labeled-data/Brownhorseoutofshadow/0199.png,labeled-data/BrownHorseintoshadow/0166.png
23,labeled-data/Brownhorseoutofshadow/0209.png,labeled-data/Brownhorseoutofshadow/0201.png,labeled-data/BrownHorseintoshadow/0167.png
24,labeled-data/Brownhorseoutofshadow/0210.png,labeled-data/Brownhorseoutofshadow/0206.png,labeled-data/BrownHorseintoshadow/0168.png
25,labeled-data/Brownhorseoutofshadow/0211.png,labeled-data/Brownhorseoutofshadow/0207.png,labeled-data/BrownHorseintoshadow/0169.png
26,labeled-data/Brownhorseoutofshadow/0212.png,labeled-data/Brownhorseoutofshadow/0213.png,labeled-data/BrownHorseintoshadow/0170.png
27,labeled-data/Brownhorseoutofshadow/0215.png,labeled-data/Brownhorseoutofshadow/0214.png,labeled-data/BrownHorseintoshadow/0171.png
28,labeled-data/Brownhorseoutofshadow/0221.png,labeled-data/Brownhorseoutofshadow/0216.png,labeled-data/BrownHorseintoshadow/0172.png
29,labeled-data/Brownhorseoutofshadow/0222.png,labeled-data/Brownhorseoutofshadow/0217.png,labeled-data/BrownHorseintoshadow/0173.png
30,labeled-data/Brownhorseoutofshadow/0224.png,labeled-data/Brownhorseoutofshadow/0218.png,labeled-data/BrownHorseintoshadow/0174.png
31,labeled-data/Brownhorseoutofshadow/0225.png,labeled-data/Brownhorseoutofshadow/0219.png,labeled-data/BrownHorseintoshadow/0175.png
